Player,Birth Year,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Year_start,Year_end,Length,HOF
Aaron Harrison,1995.0,26.0,0.0,110.0,5.0,23.0,0.21739130434782608,3.0,12.0,0.25,2.0,11.0,0.18181818181818182,0.2826086956521739,6.0,14.0,0.42857142857142855,4.0,14.0,18.0,5.0,6.0,0.0,4.0,12.0,19.0,3.2954545454545454,0.32578875171467764,0.5217391304347826,0.6086956521739131,3.9736363636363636,14.089090909090908,8.93909090909091,6.029090909090909,2.7054545454545456,0.0,11.92090909090909,13.576363636363634,-0.30000000000000004,0.1,-0.1,-0.0344,-6.218181818181818,-0.24000000000000002,-6.442727272727273,-0.1,2016.0,2017.0,2.0,0
Aaron McKie,1973.0,793.0,287.0,19156.0,2265.0,5177.0,0.43751207262893566,388.0,1109.0,0.34986474301172227,1877.0,4068.0,0.4614060963618486,0.4749855128452772,953.0,1224.0,0.7785947712418301,482.0,2105.0,2587.0,2126.0,912.0,164.0,1059.0,1588.0,5871.0,12.821392775109626,0.5135979676532133,0.2142167278346533,0.23643036507629903,2.897922321987889,12.674926915848822,7.796512841929423,18.137366882438922,2.5267383587387764,0.6501566088953853,15.732804343286697,15.933733556065983,13.6,26.100000000000005,40.0,0.10009840258926707,-0.6433180204635623,1.3097358529964505,0.6788943411985799,12.700000000000001,1995.0,2007.0,13.0,0
Aaron Miles,1984.0,19.0,0.0,118.0,6.0,18.0,0.3333333333333333,0.0,0.0,0.0,6.0,18.0,0.3333333333333333,0.3333333333333333,4.0,4.0,1.0,0.0,14.0,14.0,24.0,4.0,1.0,11.0,13.0,16.0,6.0,0.4048582995951417,0.0,0.2222222222222222,0.0,13.6,6.6,29.5,1.7,0.6,35.8,11.6,-0.2,0.1,0.0,-0.015,-7.7,-0.5,-8.2,-0.2,2006.0,2006.0,1.0,0
Aaron Swinson,1971.0,9.0,0.0,51.0,10.0,18.0,0.5555555555555556,0.0,0.0,0.0,10.0,18.0,0.5555555555555556,0.5555555555555556,4.0,5.0,0.8,3.0,5.0,8.0,3.0,1.0,0.0,5.0,8.0,24.0,11.7,0.594059405940594,0.0,0.2777777777777778,6.7,11.3,9.0,9.0,1.0,0.0,19.8,21.4,0.0,0.0,0.0,0.039,-2.9,-2.9,-5.8,0.0,1995.0,1995.0,1.0,0
Aaron Williams,1972.0,715.0,78.0,12000.0,1572.0,3190.0,0.4927899686520376,1.0,16.0,0.0625,1571.0,3174.0,0.49495904221802145,0.49294670846394983,975.0,1318.0,0.7397572078907435,1016.0,1774.0,2790.0,485.0,282.0,539.0,663.0,1750.0,4120.0,13.928283333333333,0.5464306934895171,0.005015673981191223,0.413166144200627,9.681441666666668,17.323633333333333,13.435075,6.743283333333334,1.243,3.356183333333333,15.094250000000002,16.811925000000002,13.4,14.900000000000002,28.799999999999997,0.11481266666666666,-1.9802250000000003,0.8688916666666667,-1.079125,2.9,1994.0,2008.0,15.0,0
Acie Earl,1971.0,193.0,18.0,2512.0,361.0,896.0,0.4029017857142857,0.0,9.0,0.0,361.0,887.0,0.4069898534385569,0.4029017857142857,258.0,387.0,0.6666666666666666,190.0,327.0,517.0,61.0,63.0,126.0,170.0,351.0,980.0,10.560947452229298,0.45954158382413623,0.010044642857142858,0.43191964285714285,8.648845541401274,15.18204617834395,11.869585987261146,3.9347929936305737,1.2651273885350318,3.5586783439490444,13.811664012738854,21.59402866242038,-1.7000000000000002,2.0,0.3,0.004931528662420382,-5.414410828025478,-1.4578025477707006,-6.8722133757961785,-3.1999999999999997,1994.0,1997.0,4.0,0
Acie Law,1985.0,188.0,8.0,2385.0,263.0,637.0,0.41287284144427,27.0,115.0,0.23478260869565218,236.0,522.0,0.4521072796934866,0.4340659340659341,172.0,221.0,0.7782805429864253,33.0,162.0,195.0,309.0,83.0,4.0,145.0,193.0,725.0,9.864947589098533,0.49370777947265204,0.18053375196232338,0.3469387755102041,1.6012578616352202,7.879077568134171,4.734758909853249,19.571823899371072,1.8064570230607966,0.13316561844863734,16.5095178197065,16.719706498951783,0.19999999999999998,1.3,1.6,0.03152075471698113,-3.173291404612159,-2.2362264150943396,-5.379077568134171,-2.0,2008.0,2011.0,4.0,0
Adam Harrington,1981.0,19.0,0.0,111.0,11.0,37.0,0.2972972972972973,5.0,14.0,0.35714285714285715,6.0,23.0,0.2608695652173913,0.36486486486486486,3.0,4.0,0.75,1.0,7.0,8.0,12.0,2.0,1.0,2.0,8.0,30.0,7.400000000000001,0.38699690402476783,0.3783783783783784,0.10810810810810811,1.0,7.5,4.1,18.0,0.9,0.6999999999999998,4.900000000000001,16.5,0.0,0.1,0.0,0.017,-3.9,-3.2000000000000006,-7.099999999999999,-0.1,2003.0,2003.0,1.0,0
Adam Keefe,1971.0,617.0,98.0,10334.0,1120.0,2230.0,0.5022421524663677,1.0,14.0,0.07142857142857142,1119.0,2216.0,0.5049638989169675,0.5024663677130045,866.0,1213.0,0.7139323990107173,999.0,1557.0,2556.0,427.0,307.0,173.0,545.0,1114.0,3107.0,12.956144764853882,0.5621046994630426,0.006278026905829596,0.5439461883408072,11.765666731178634,17.601741823108185,14.718076253144956,6.100783820398684,1.5545964776466035,1.2995742210179988,16.35393845558351,14.326562802399847,13.2,11.700000000000001,24.9,0.11534507451132184,-0.7547513063673311,0.6159086510547707,-0.13416876330559324,4.9,1993.0,2001.0,9.0,0
Adam Morrison,1985.0,161.0,28.0,3278.0,467.0,1252.0,0.3730031948881789,124.0,375.0,0.33066666666666666,343.0,877.0,0.39110604332953247,0.4225239616613419,142.0,200.0,0.71,82.0,260.0,342.0,222.0,40.0,12.0,172.0,273.0,1200.0,7.386058572300184,0.44776119402985076,0.2995207667731629,0.1597444089456869,2.933801098230629,9.569829164124464,6.227181208053692,11.313636363636366,0.6216900549115314,0.29447834045149485,11.392647956070775,21.035753508236727,-3.0000000000000004,1.5999999999999999,-1.5,-0.020408785845027456,-3.276449054301403,-2.275015253203173,-5.551464307504576,-2.9,2007.0,2010.0,4.0,0
Adonal Foyle,1976.0,733.0,269.0,13060.0,1318.0,2766.0,0.4765003615328995,0.0,2.0,0.0,1318.0,2764.0,0.4768451519536903,0.4765003615328995,353.0,707.0,0.49929278642149927,1301.0,2160.0,3461.0,344.0,264.0,1193.0,597.0,1575.0,2989.0,12.335888208269527,0.4856877299257738,0.0007230657989877079,0.25560375994215473,10.472557427258806,18.421607963246554,14.354762633996938,4.049578866768759,1.0255513016845328,6.43604134762634,16.269877488514545,12.165474732006127,3.1999999999999997,15.499999999999998,18.700000000000003,0.0685708269525268,-3.661707503828484,2.853736600306279,-0.8129938744257273,3.7,1998.0,2009.0,12.0,0
Adonis Jordan,1971.0,10.0,0.0,97.0,8.0,27.0,0.2962962962962963,3.0,12.0,0.25,5.0,15.0,0.3333333333333333,0.35185185185185186,2.0,4.0,0.5,3.0,3.0,6.0,22.0,3.0,1.0,8.0,6.0,21.0,8.068041237113402,0.36509040333796944,0.4444444444444444,0.14814814814814814,3.5835051546391754,3.3391752577319584,3.420618556701031,32.130927835051544,1.7072164948453608,0.6515463917525773,21.64639175257732,16.52783505154639,-0.1,0.0,-0.1,-0.01510309278350516,-3.887628865979382,-3.7731958762886597,-7.660824742268041,-0.1,1994.0,1999.0,6.0,0
Adonis Thomas,1994.0,6.0,1.0,37.0,6.0,14.0,0.42857142857142855,1.0,5.0,0.2,5.0,9.0,0.5555555555555556,0.4642857142857143,1.0,1.0,1.0,0.0,3.0,3.0,3.0,0.0,0.0,1.0,6.0,14.0,7.299999999999999,0.4847645429362881,0.35714285714285715,0.07142857142857142,0.0,9.2,4.6,13.4,0.0,0.0,6.5,18.5,0.0,0.0,0.0,0.001,-4.0,-5.7,-9.7,-0.1,2014.0,2014.0,1.0,0
