Player,DPOY
Alonzo Mourning,2
Alvin Robertson,1
Ben Wallace,4
David Robinson,1
Dennis Rodman,2
Dikembe Mutombo,4
Draymond Green,1
Dwight Howard,3
Gary Payton,1
Hakeem Olajuwon,2
Joakim Noah,1
Kawhi Leonard,2
Kevin Garnett,1
Marc Gasol,1
Marcus Camby,1
Mark Eaton,2
Michael Cooper,1
Michael Jordan,1
Ron Artest,1
Rudy Gobert,1
Sidney Moncrief,2
Tyson Chandler,1
