Player,Birth Year,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Year_start,Year_end,Length,HOF,AllStar_MVP,Final_MVP,DPOY,Final,Champion,AllStar,First team,Second team,Third team,MVPs
Pape Sy,1989.0,3.0,0.0,21.0,2.0,6.0,0.3333333333333333,0.0,1.0,0.0,2.0,5.0,0.4,0.3333333333333333,3.0,3.0,1.0,2.0,1.0,3.0,2.0,1.0,0.0,3.0,1.0,7.0,9.2,0.4781420765027322,0.16666666666666666,0.5,11.6,5.7,8.6,14.5,2.6,0.0,29.1,23.3,0.0,0.0,0.0,-0.047,-5.0,-1.1,-6.0,0.0,2011.0,2011.0,1.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Pascal Siakam,1995.0,55.0,38.0,859.0,103.0,205.0,0.5024390243902439,1.0,7.0,0.14285714285714285,102.0,198.0,0.5151515151515151,0.5048780487804878,22.0,32.0,0.6875,64.0,121.0,185.0,17.0,26.0,45.0,33.0,109.0,229.0,11.5,0.5226401314588278,0.03414634146341464,0.15609756097560976,8.4,15.9,12.2,2.9,1.5,4.5,13.1,13.1,0.4,1.2,1.6,0.08900000000000001,-3.0,1.8,-1.1,0.2,2017.0,2017.0,1.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Pat Burke,1974.0,127.0,8.0,1293.0,199.0,488.0,0.4077868852459016,9.0,36.0,0.25,190.0,452.0,0.42035398230088494,0.41700819672131145,61.0,92.0,0.6630434782608695,90.0,176.0,266.0,44.0,28.0,40.0,87.0,180.0,468.0,8.854988399071928,0.4427792915531335,0.07377049180327869,0.1885245901639344,7.893039443155452,15.482443928847639,11.728615622583137,5.332327919566898,1.1422273781902552,2.202706883217324,14.110904872389794,21.339443155452443,-1.4,1.2,-0.09999999999999998,-0.008406032482598608,-5.722428460943542,-1.3676720804331015,-7.116860015467903,-1.6,2003.0,2007.0,5.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Pat Connaughton,1993.0,73.0,1.0,459.0,50.0,121.0,0.4132231404958678,22.0,54.0,0.4074074074074074,28.0,67.0,0.41791044776119396,0.5041322314049587,12.0,14.0,0.8571428571428571,21.0,63.0,84.0,38.0,8.0,2.0,27.0,29.0,134.0,9.556862745098039,0.5268952500786411,0.4462809917355372,0.11570247933884298,4.995424836601307,15.142701525054465,10.034640522875817,11.827668845315905,0.8376906318082789,0.3442265795206972,17.67690631808279,14.775816993464053,0.10000000000000003,0.30000000000000004,0.4,0.03828322440087145,-2.4265795206971683,-1.8492374727668843,-4.275816993464051,-0.2,2016.0,2017.0,2.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Pat Cummings,1957.0,538.0,300.0,12532.0,2299.0,4676.0,0.4916595380667237,0.0,14.0,0.0,2299.0,4662.0,0.4931359931359932,0.4916595380667237,868.0,1177.0,0.7374681393372983,988.0,2307.0,3295.0,692.0,307.0,135.0,964.0,1704.0,5466.0,12.93635493137568,0.5261962155459887,0.002994011976047905,0.2517108639863131,8.737839131822534,21.194382381104365,14.845946377274178,7.939115863389722,1.1629668049792532,0.6240185126077242,15.613246090009575,20.14774178104053,4.5,12.9,17.300000000000004,0.06651452282157677,-1.850215448451963,-0.4868416852856686,-2.3460900095754864,-1.0999999999999996,1980.0,1991.0,12.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Pat Durham,1968.0,64.0,3.0,930.0,123.0,262.0,0.4694656488549618,5.0,26.0,0.19230769230769232,118.0,236.0,0.5,0.4790076335877863,72.0,108.0,0.6666666666666666,42.0,66.0,108.0,57.0,37.0,33.0,52.0,120.0,323.0,11.42,0.5217756526234171,0.09923664122137403,0.4122137404580153,5.5509677419354855,8.50258064516129,7.068387096774192,10.522580645161293,2.0658064516129038,2.632258064516129,14.310967741935485,17.576129032258066,0.2,0.5,0.7,0.03749677419354839,-2.5367741935483865,-0.2761290322580645,-2.812903225806452,-0.2,1993.0,1995.0,3.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Pat Garrity,1977.0,552.0,107.0,11062.0,1479.0,3543.0,0.4174428450465707,631.0,1587.0,0.39760554505356016,848.0,1956.0,0.4335378323108384,0.5064916737228338,428.0,531.0,0.8060263653483992,343.0,1114.0,1457.0,443.0,246.0,104.0,417.0,1274.0,4017.0,10.757141565720485,0.5318219369598373,0.4479254868755292,0.14987298899237933,3.509320195263063,11.480618333032,7.458298680166338,6.363858253480383,1.1277165069607664,0.6898300488157657,9.866054962936175,16.83062737298861,11.2,7.399999999999999,18.7,0.08092758994756825,-0.156680527933466,-1.5941601880310983,-1.7594738745254022,0.7,1999.0,2008.0,10.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Patricio Garino,1994.0,5.0,0.0,43.0,0.0,7.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,7.0,0.0,0.0,0.0,3.0,4.0,0.0,-9.2,0.0,0.7142857142857143,0.0,2.5,15.6,8.9,0.0,0.0,0.0,30.0,10.2,-0.2,0.0,-0.2,-0.25,-14.1,-3.3000000000000003,-17.3,-0.2,2017.0,2017.0,1.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Patrick Beverley,1989.0,291.0,240.0,8290.0,968.0,2339.0,0.41385207353569897,477.0,1272.0,0.375,491.0,1067.0,0.4601686972820994,0.5158187259512612,295.0,386.0,0.7642487046632125,352.0,834.0,1186.0,980.0,366.0,118.0,384.0,895.0,2708.0,12.725536791314841,0.5396916503244527,0.5438221462163317,0.16502778965369816,4.751447527141133,10.992291917973464,7.8970446320868515,17.44223160434258,2.1796863691194206,1.1278287092882993,13.284728588661036,15.071749095295534,11.8,7.9,19.6,0.11312496984318456,1.2207720144752712,0.6081544028950542,1.828926417370326,8.0,2013.0,2017.0,5.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Patrick Christopher,1989.0,4.0,1.0,29.0,3.0,12.0,0.25,0.0,4.0,0.0,3.0,8.0,0.375,0.25,0.0,0.0,0.0,2.0,4.0,6.0,0.0,1.0,0.0,1.0,6.0,6.0,-2.6,0.25,0.3333333333333333,0.0,8.0,15.9,12.0,0.0,1.8,0.0,7.7,20.6,-0.1,0.0,-0.1,-0.15,-10.6,-5.7,-16.3,-0.1,2015.0,2015.0,1.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
